mel77,mel80,mel65,mel72,mel63,mel52,mel87,mel76,birthplace
2.0938994187619147e-07,5.014334179599579e-07,1.5558830032301603e-06,5.042956726779279e-06,9.461136824796752e-07,1.9997967074585099e-07,0.0007609869610839,3.608524812715444e-06,usa
0.0014108885153198,0.0005157023022013,2.8301378437952e-06,1.0015911169107296e-05,1.0022965694571868e-05,4.481085021533118e-05,1.3961636113545104e-05,0.0004503767972876,pakistan
0.0014146006511016,0.0005203734728687,6.637956021169213e-06,1.3765454419426885e-05,1.3952726297600785e-05,4.841628756630116e-05,1.8080908672969357e-05,0.000453644624227,pakistan
1.4747204324549457e-05,9.876444717770836e-05,1.2689653769121328e-05,4.562581668210888e-06,1.316644431317464e-06,0.0004129416484854,3.0396133975991304e-06,6.982849478878522e-06,pakistan
6.699918878989692e-05,3.5281805202161645e-06,6.89298945326726e-06,0.0001167298082977,3.037045106472708e-05,2.631057799666644e-06,1.9342699751827604e-06,0.000585840466111,vietnam
6.773063177660894e-05,3.7375985424216433e-06,7.123942162659794e-06,0.0001174179107636,3.052430070593997e-05,2.898636652875439e-06,2.272957000211225e-06,0.0005870067945057,vietnam
7.442128066799632e-05,2.124670677058854e-06,3.137957506520121e-06,2.137797266776333e-05,4.378335056860589e-06,2.009719297558914e-07,6.185512006982119e-06,6.044909555873046e-06,vietnam
0.0001077599706664,4.929315835303543e-05,1.9303743790549935e-05,1.21454898613735e-05,1.1838347580561256e-05,0.0003554034303206,4.946778019025872e-06,8.697490431963577e-05,japan
0.0001086931980128,4.949460768099713e-05,2.0169079184632283e-05,1.3239645694020246e-05,1.3033321627205006e-05,0.0003560233690669,5.865896029916212e-06,8.812742483107732e-05,japan
2.059251460518481e-06,2.135352885926351e-05,2.436469141692696e-06,6.697059958538616e-05,1.076738020014754e-06,6.145492589462773e-06,1.7404081262242815e-06,1.260946706004907e-05,japan
1.1995132685601666e-07,1.4009386412448014e-07,1.691313349269532e-07,2.6056810004564025e-07,2.841024960681579e-07,5.268357518593233e-08,5.1384662027629234e-06,1.3514970079838788e-07,china
1.4608954770622516e-07,1.6182644231274854e-07,1.8811569964945649e-07,2.948850587722259e-07,3.2014111575816524e-07,7.393209099427263e-08,5.158372261012878e-06,1.664214297038797e-07,china
2.185291891809286e-08,2.0691372002989288e-08,3.8511983531107226e-08,1.0479553635526264e-07,3.340069120779582e-08,3.950426958777069e-08,3.91943473247425e-06,3.222351926396748e-08,china
9.18410784094112e-06,4.35752914544341e-06,6.0176986890231234e-09,4.414393108482281e-07,1.3850921800542504e-06,1.30261924537097e-06,1.7351447319225247e-07,7.544123429712351e-07,peru
9.381361930725186e-06,4.381009797497224e-06,9.23169514067546e-08,5.258629609326635e-07,1.4730574029544151e-06,1.3591939874489706e-06,2.368074022305639e-07,8.37728652730041e-07,peru
6.304671312063785e-09,4.333930914684976e-07,6.702261221841416e-07,3.0157209996991265e-05,2.8812396188507507e-09,1.308589552756838e-07,8.584361486196144e-08,6.391541796338193e-06,peru
0.0004116343456805,0.0002625184755372,0.0001366540139373,1.1995985436597152e-05,2.0177706849811017e-05,5.128396018500918e-07,4.409606922482e-06,0.000348422567291,netherlands
0.0004115858912061,0.0002625955652784,0.0001367704559419,1.196997138671051e-05,2.0163402723909925e-05,5.195632004739341e-07,4.434579197981726e-06,0.0003484870467809,netherlands
1.6851097200404835e-05,6.831590504810916e-05,2.713318696634618e-05,3.4924087813224586e-07,8.704735414175942e-06,1.8916455715387331e-06,4.248354421204376e-07,2.238062185761031e-05,netherlands
1.0505114409974011e-06,3.6546022513046585e-07,1.0951292788078583e-06,7.327349479190172e-07,4.307963822671222e-05,4.492180806931634e-06,1.225116350336541e-06,2.1363614865642915e-07,mexico
1.0570994548966269e-06,3.716590475794128e-07,1.1158825081018973e-06,7.398159414888864e-07,4.2939719892541504e-05,4.493243470875094e-06,1.2370289102205011e-06,2.1968375943634865e-07,mexico
1.1329271976181552e-07,1.5862088228269198e-05,1.1762139843069848e-05,4.694666310728613e-08,1.051610056192745e-05,1.318847625506735e-06,6.165527839580562e-06,8.079776370266049e-08,mexico
1.7377445259942296e-06,1.1051336804726611e-06,1.3712714763138523e-05,3.398073795071565e-07,0.0002159018299293,4.156969057408829e-05,1.001544139476609e-06,2.1884169790315557e-06,ethiopia
1.8916878549965017e-06,1.2675960780448518e-06,1.3996121880293624e-05,5.353561674638313e-07,0.0002163242519986,4.205825540191546e-05,1.1775006991415695e-06,2.3186451618726107e-06,ethiopia
4.120149393750525e-07,3.996165248446619e-06,5.524073083482398e-05,1.2598724666454246e-06,2.0328325262134924e-06,1.8143767463412423e-06,2.0040646857620314e-07,1.308415451899086e-07,ethiopia
6.20006969183127e-06,5.7791414217454674e-06,1.7225397467339174e-06,1.6918755673885787e-05,1.4374786120953066e-06,8.197661497117661e-06,0.0001130439640945,3.1955482955674664e-06,south korea
6.785667457448423e-06,6.091369455496513e-06,2.1800240268251456e-06,1.708788121019038e-05,1.8933845619624689e-06,8.587944520199723e-06,0.0001133534901456,3.678692776146897e-06,south korea
1.1644401524819393e-06,1.3088688216955068e-06,2.45286535927622e-07,1.3211104985098686e-06,2.158157406567366e-07,8.572729138323253e-06,1.3646499644603916e-05,3.45748768518657e-06,south korea
4.390001418416272e-07,3.203217926566672e-07,5.077830929015978e-07,2.390640677531301e-07,1.5277858232825585e-07,7.34921619953341e-07,3.129738609990487e-07,2.8725374453683504e-07,afghanistan
5.341460744003412e-07,3.931507303486474e-07,5.909043639298827e-07,3.230879209237972e-07,2.1280682751302093e-07,7.654683122923017e-07,4.070796864438947e-07,3.86683728347045e-07,afghanistan
9.04950999615144e-08,9.95075515841431e-08,1.980414878504072e-08,7.471953975259481e-08,1.562171614834727e-07,7.039301420255534e-08,4.9446664024864644e-08,3.337893945472016e-08,afghanistan
6.198039252688117e-06,2.1554756593311216e-05,8.631848991921617e-07,0.0008531468046343,5.803353821529066e-05,5.65189938511778e-06,2.3774511614791032e-05,9.93799030836842e-06,iran
6.765006635196585e-06,2.2824981532233773e-05,1.6220698160603395e-06,0.0008549155059026,5.801066202251669e-05,6.442305455403863e-06,2.437186469385393e-05,1.0463699624114552e-05,iran
